Layer,Head,Primary Behavior,Confidence,Sample Count
1,1,Global,100.0,10
1,2,Global,100.0,10
1,3,Global,70.0,10
1,4,Global,100.0,10
1,5,Global,70.0,10
1,6,Global,100.0,10
1,7,Global,90.0,10
2,1,Global,80.0,10
2,2,Global,90.0,10
2,3,Global,90.0,10
2,4,Global,100.0,10
2,5,Global,100.0,10
2,6,Global,90.0,10
2,7,Global,90.0,10
3,1,Global,100.0,10
3,2,Global,100.0,10
3,3,Global,100.0,10
3,4,Global,100.0,10
3,5,Global,90.0,10
3,6,Global,100.0,10
3,7,Global,90.0,10
4,1,Global,100.0,10
4,2,Global,100.0,10
4,3,Global,100.0,10
4,4,Global,100.0,10
4,5,Global,100.0,10
4,6,Global,100.0,10
4,7,Global,90.0,10
5,1,Global,100.0,10
5,2,Global,100.0,10
5,3,Global,60.0,10
5,4,Global,100.0,10
5,5,Global,100.0,10
5,6,Global,100.0,10
5,7,Global,100.0,10
6,1,Global,100.0,10
6,2,Global,100.0,10
6,3,Local,60.0,10
6,4,Global,90.0,10
6,5,Global,100.0,10
6,6,Global,100.0,10
6,7,Global,100.0,10
7,1,Global,100.0,10
7,2,Global,100.0,10
7,3,Global,100.0,10
7,4,Global,100.0,10
7,5,Global,100.0,10
7,6,Global,70.0,10
7,7,Global,100.0,10
8,1,Global,90.0,10
8,2,Global,100.0,10
8,3,Global,40.0,10
8,4,Global,80.0,10
8,5,Global,100.0,10
8,6,Global,90.0,10
8,7,Global,100.0,10
